Geneid	Anotacion	Locus	ID	C.1	C.3	C.4	F.1	F.2	F.4	M.1	M.3	M.4	H.1	H.2	H.3
cds1255	GGDEF domain-containing protein	RPHASCH2410_PD00330	WP_016735424.1	2977	2927	3107	2243	2611	2320	2003	1049	1489	1814	2754	1477
cds1256	HAMP domain-containing protein	RPHASCH2410_PD00335	WP_029531728.1	668	617	672	686	719	742	598	681	620	500	753	573
cds1257	response regulator	RPHASCH2410_PD00340	WP_016735425.1	273	268	263	129	157	147	102	74	91	120	139	92
cds1258	hypothetical protein	RPHASCH2410_PD00345	WP_004674013.1	3348	3895	4294	552	783	691	1828	1042	1044	997	962	1004
cds1259	hypothetical protein	RPHASCH2410_PD00350	WP_016735426.1	3691	3971	4176	933	1152	995	2141	1080	1207	1467	1370	1189
cds1260	DUF4334 domain-containing protein	RPHASCH2410_PD00355	WP_016735427.1	407	419	428	493	539	466	374	237	261	368	537	322
cds1261	hydrolase	RPHASCH2410_PD00360	WP_016735428.1	786	800	983	646	677	666	628	278	390	594	889	488
cds1262	DUF1206 domain-containing protein	RPHASCH2410_PD00365	WP_016735429.1	1106	1288	1314	291	373	320	797	417	408	466	460	412
cds1263	NUDIX domain-containing protein	RPHASCH2410_PD00370	WP_016735430.1	484	368	375	553	597	533	461	233	316	360	551	342
cds1264	alpha/beta hydrolase	RPHASCH2410_PD00375	WP_016735431.1	383	399	385	366	361	386	234	251	255	244	323	218
cds1265	hypothetical protein	RPHASCH2410_PD00380	WP_016735432.1	401	365	443	362	414	373	294	271	216	363	418	308
cds1266	gamma-glutamylcyclotransferase	RPHASCH2410_PD00385	WP_046977237.1	277	264	285	351	333	342	208	149	185	272	360	246
cds1267	LysR family transcriptional regulator	RPHASCH2410_PD00390	WP_004674004.1	188	182	210	260	275	295	213	162	168	171	268	176
cds1268	dioxygenase	RPHASCH2410_PD00395	WP_016735434.1	104	107	94	141	140	120	120	93	96	97	142	79
cds1269	hydrolase	RPHASCH2410_PD00400	WP_004674003.1	177	176	167	170	151	200	143	119	158	137	169	120
cds1270	DUF1427 domain-containing protein	RPHASCH2410_PD00405	WP_010009505.1	46	51	54	40	58	56	33	34	41	39	39	34
cds1271	amidohydrolase	RPHASCH2410_PD00410	WP_080956188.1	408	411	417	469	523	525	387	421	437	354	498	370
cds1272	DoxX family protein	RPHASCH2410_PD00415	WP_016735437.1	16	11	14	29	33	19	10	10	18	14	20	11
cds1273	MFS transporter	RPHASCH2410_PD00420	WP_016735438.1	209	213	223	256	339	292	220	177	203	221	322	180
cds1274	allophanate hydrolase	RPHASCH2410_PD00425	WP_029531729.1	185	129	134	110	127	131	99	61	83	94	140	116
cds1275	cysteine hydrolase	RPHASCH2410_PD00430	WP_046977204.1	86	74	89	78	84	102	68	52	74	67	94	57
cds1276	ABC transporter ATP-binding protein	RPHASCH2410_PD00435	WP_016735440.1	338	262	287	204	219	223	169	134	173	134	212	154
cds1277	cysteine hydrolase	RPHASCH2410_PD00440	WP_016735441.1	170	134	164	144	163	155	99	114	99	106	159	109
cds1278	formamidase	RPHASCH2410_RS25485	WP_016735442.1	201	169	182	150	179	161	114	89	91	146	195	115
cds1279	ABC transporter permease	RPHASCH2410_PD00450	WP_016735443.1	627	360	429	446	474	488	374	249	289	330	476	323
cds1280	ABC transporter permease	RPHASCH2410_PD00455	WP_016735444.1	160	170	172	164	172	182	137	124	121	103	179	129
cds1281	BMP family ABC transporter substrate-binding protein	RPHASCH2410_PD00460	WP_016735445.1	234	229	254	235	227	220	170	195	184	165	229	174
cds1282	GntR family transcriptional regulator	RPHASCH2410_PD00465	WP_016735446.1	1105	949	1046	1173	1374	1297	1093	960	882	1033	1442	987
cds1283	enamine deaminase RidA	RPHASCH2410_PD00470	WP_016735447.1	476	399	484	584	659	611	450	337	330	438	622	452
cds1284	flavodoxin family protein	RPHASCH2410_PD00475	WP_016735448.1	254	232	249	345	370	358	257	188	196	250	364	280
cds1285	FAD-binding oxidoreductase	RPHASCH2410_PD00480	WP_016735449.1	508	500	454	463	546	493	432	299	335	389	558	335
cds1286	cytosine deaminase	RPHASCH2410_PD00485	WP_016735450.1	196	194	204	226	237	214	188	119	160	191	234	199
cds1287	ABC transporter permease	RPHASCH2410_PD00490	WP_016735451.1	351	213	277	229	273	237	188	104	115	177	248	169
cds1288	ABC transporter ATP-binding protein	RPHASCH2410_PD00495	WP_016735452.1	181	161	168	246	275	247	203	125	170	183	263	191
cds1289	ABC transporter substrate-binding protein	RPHASCH2410_PD00500	WP_029531730.1	445	398	414	370	373	381	267	243	256	278	416	266
cds1290	LysR family transcriptional regulator	RPHASCH2410_PD00505	WP_016735454.1	519	623	602	868	1018	950	858	1718	1185	786	791	1214
cds1291	creatininase	RPHASCH2410_PD00510	WP_016735455.1	299	289	272	279	268	298	240	347	288	230	268	276
cds1292	allophanate hydrolase	RPHASCH2410_PD00515	WP_016735457.1	306	346	300	227	310	322	224	262	237	184	300	219
cds1293	urea carboxylase	RPHASCH2410_PD00520	WP_016735458.1	536	511	486	462	523	412	452	440	414	381	504	373
cds1294	DUF1989 domain-containing protein	RPHASCH2410_PD00525	WP_016735459.1	67	77	71	42	58	54	52	34	35	41	51	37
cds1295	DUF1989 domain-containing protein	RPHASCH2410_PD00530	WP_016735460.1	104	94	111	74	86	73	74	73	77	63	101	72
cds1296	ABC transporter ATP-binding protein	RPHASCH2410_PD00535	WP_016735461.1	92	102	84	82	80	73	94	50	61	55	76	62
cds1297	lipid kinase	RPHASCH2410_PD00540	WP_016735462.1	156	169	173	129	182	162	131	110	123	117	146	141
cds1298	lipid kinase	RPHASCH2410_PD00545	WP_016735463.1	516	347	352	302	292	301	227	141	236	217	377	240
cds1299	dihydrofolate reductase		WP_016735464.1	411	358	423	414	435	481	367	437	369	389	430	380
cds1300	class I SAM-dependent methyltransferase	RPHASCH2410_PD00550	WP_029531731.1	581	525	530	554	633	611	517	532	447	485	528	619
cds1301	DUF1127 domain-containing protein	RPHASCH2410_PD00555	WP_016735465.1	154	149	178	336	368	417	287	276	235	262	353	312
cds1302	AraC family transcriptional regulator	RPHASCH2410_PD00560	WP_016735466.1	176	152	137	257	272	239	237	371	268	172	232	230
cds1303	hypothetical protein		WP_080956189.1	9	14	21	39	50	34	38	44	29	29	53	28
cds1304	LacI family DNA-binding transcriptional regulator	RPHASCH2410_PD00565	WP_004680351.1	621	670	659	704	776	744	661	983	812	520	816	502
cds1305	hypothetical protein	RPHASCH2410_PD00570	WP_016735468.1	163	185	197	105	142	141	237	837	463	114	156	151
cds1306	NAD-dependent epimerase	RPHASCH2410_PD00575	WP_016735469.1	1046	1276	1320	933	1017	933	942	1664	1204	701	1066	729
cds1307	SDR family NAD(P)-dependent oxidoreductase	RPHASCH2410_PD00580	WP_016735470.1	943	1006	1111	1016	1057	1131	706	1050	860	698	1073	741
cds1308	ABC transporter ATP-binding protein	RPHASCH2410_PD00585	WP_004680346.1	2255	2473	2473	2468	2589	2614	1684	1503	1703	1673	2571	1429
cds1309	carbohydrate ABC transporter substrate-binding protein	RPHASCH2410_PD00590	WP_016735474.1	4879	5979	5841	11353	11606	11830	7496	4104	6993	7525	12630	5752
cds1310	sugar ABC transporter permease	RPHASCH2410_PD00595	WP_004680343.1	953	1207	1131	2132	2248	2259	1230	880	1162	1464	2162	1280
cds1311	carbohydrate ABC transporter permease	RPHASCH2410_PD00600	WP_010006529.1	1221	1369	1427	2815	2962	2855	1652	1350	1578	1872	2733	1723
cds1312	membrane protein	RPHASCH2410_PD00605	WP_004680341.1	210	228	247	490	542	475	363	234	307	367	481	278
cds1313	branched-chain amino acid ABC transporter permease	RPHASCH2410_PD00610	WP_004680340.1	296	269	276	394	390	369	249	177	203	231	311	214
cds1314	AraC family transcriptional regulator	RPHASCH2410_PD00615	WP_004680339.1	655	606	673	692	755	702	688	515	529	522	769	559
cds1315	GGDEF-domain containing protein	RPHASCH2410_PD00620	WP_016735475.1	16374	17965	18245	11604	12634	12467	7857	4304	6266	8590	12880	7683
cds1316	class I SAM-dependent methyltransferase	RPHASCH2410_PD00625	WP_016735476.1	3159	3143	3471	2282	2517	2426	1770	2228	1818	1716	2300	1828
cds1317	dihydrodipicolinate synthase family protein	RPHASCH2410_PD00630	WP_029531734.1	4423	4009	4368	18207	19619	19291	17927	38518	24862	11688	12871	16783
cds1318	GntR family transcriptional regulator	RPHASCH2410_PD00635	WP_039751730.1	1697	1565	1770	2845	3131	3088	2710	8267	5331	2086	2335	3472
cds1319	sugar ABC transporter substrate-binding protein	RPHASCH2410_PD00640	WP_016735479.1	11660	12702	13160	8320	8839	8498	7387	16576	12434	5445	8341	6192
cds1320	sugar ABC transporter permease	RPHASCH2410_PD00645	WP_016735480.1	4092	4297	4541	2871	3139	2903	2126	3469	2900	1984	2719	1978
cds1321	carbohydrate ABC transporter permease	RPHASCH2410_PD00650	WP_004680329.1	2718	2610	2753	1598	1920	1737	1179	1576	1444	1166	1626	1244
cds1322	sugar kinase	RPHASCH2410_PD00655	WP_016735481.1	1070	992	1052	1061	1175	1100	935	668	771	845	1126	783
cds1323	LysE family translocator	RPHASCH2410_PD00660	WP_029531735.1	447	464	494	369	432	368	306	345	278	267	382	331
cds1324	hypothetical protein	RPHASCH2410_PD00665	WP_020465384.1	38184	35848	40363	33211	37768	36699	34045	20336	24570	33389	47597	30079
cds1325	hypothetical protein	RPHASCH2410_PD00670	WP_016735484.1	3843	3203	3531	5736	6106	5858	3605	1945	2547	5091	6788	4268
cds1326	hypothetical protein		WP_016735485.1	729	612	682	1540	1648	1575	1090	676	764	1387	1672	1496
cds1327	LysR family transcriptional regulator	RPHASCH2410_PD00680	WP_016735486.1	566	476	509	1141	1305	1200	1076	854	772	1074	1300	1229
cds1328	SDR family NAD(P)-dependent oxidoreductase	RPHASCH2410_PD00685	WP_016735487.1	665	758	804	985	1144	1099	928	907	753	797	1057	853
cds1329	antibiotic biosynthesis monooxygenase	RPHASCH2410_PD00690	WP_010003757.1	179	254	199	196	246	236	193	209	173	185	202	179
cds1330	sulfite exporter TauE/SafE family protein	RPHASCH2410_PD00695	WP_016735488.1	497	466	540	506	511	498	390	340	327	398	535	350
cds1331	hypothetical protein	RPHASCH2410_PD00700	WP_016735489.1	283	259	318	424	429	482	583	503	418	400	443	428
cds1332	EamA family transporter	RPHASCH2410_PD00705	WP_016735490.1	243	263	276	151	199	163	199	136	163	164	133	152
cds1333	DUF3618 domain-containing protein	RPHASCH2410_PD00710	WP_016735491.1	529	565	575	227	239	260	268	177	177	185	257	190
cds1334	phage holin family protein	RPHASCH2410_PD00715	WP_029531736.1	153	161	189	43	56	48	54	52	46	61	45	49
cds1335	nutrient deprivation-induced protein	RPHASCH2410_PD00720	WP_010023844.1	176	166	162	62	81	76	119	88	87	76	84	83
cds1336	DNA polymerase IV	RPHASCH2410_PD00725	WP_016735493.1	515	430	460	547	582	547	461	312	369	434	570	415
cds1337	hypothetical protein	RPHASCH2410_PD00730	WP_029531737.1	1914	1171	1375	1054	1053	1097	726	327	526	781	1254	645
cds1338	hypothetical protein	RPHASCH2410_PD00735	WP_016735495.1	412	280	311	400	448	463	298	188	214	335	434	309
cds1339	NAD(P)/FAD-dependent oxidoreductase	RPHASCH2410_PD00740	WP_039751736.1	314	217	263	298	329	325	255	162	179	192	343	211
cds1340	hypothetical protein	RPHASCH2410_PD00745	WP_016735497.1	238	193	233	181	184	173	142	132	145	154	205	139
cds1341	membrane protein	RPHASCH2410_PD00750	WP_016735498.1	464	370	451	254	307	283	215	224	232	217	286	236
cds1342	membrane protein	RPHASCH2410_PD00755	WP_016735499.1	123	129	124	73	85	96	83	57	85	66	97	72
cds1343	FAD-binding oxidoreductase	RPHASCH2410_PD00760	WP_016735500.1	332	270	296	164	224	221	161	102	154	161	226	156
cds1344	short-chain dehydrogenase	RPHASCH2410_PD00765	WP_016735501.1	163	163	150	148	164	150	125	89	82	95	153	122
cds1345	hypothetical protein	RPHASCH2410_PD00770	WP_016735502.1	562	596	590	454	568	547	459	396	371	403	539	369
cds1346	hypothetical protein	RPHASCH2410_PD00775	WP_016735503.1	700	616	665	821	994	883	737	686	616	557	801	633
cds1347	XRE family transcriptional regulator	RPHASCH2410_PD00780	WP_016735504.1	252	254	254	1187	1451	1349	770	801	758	608	870	698
cds1348	MFS transporter	RPHASCH2410_PD00785	WP_016735505.1	757	735	809	796	943	799	798	695	665	669	897	679
cds1349	MetQ/NlpA family lipoprotein	RPHASCH2410_PD00790	WP_016735506.1	1238	950	982	1220	1262	1224	812	516	652	810	1208	722
cds1350	methionine ABC transporter ATP-binding protein	RPHASCH2410_PD00795	WP_016735507.1	362	329	343	462	550	544	475	373	384	407	587	443
cds1351	ABC transporter permease	RPHASCH2410_PD00800	WP_016735508.1	274	281	255	378	374	388	381	322	281	276	446	282
cds1352	FMN-dependent monooxygenase	RPHASCH2410_PD00805	WP_029531739.1	210	191	178	238	286	222	247	245	232	196	246	203
cds1353	methylmalonyl-CoA mutase	RPHASCH2410_PD00810	WP_016735510.1	5404	5547	5550	6020	6165	5935	4367	4052	4177	3919	5789	3799
cds1354	fumarylacetoacetate hydrolase	RPHASCH2410_PD00815	WP_016735511.1	792	771	806	1281	1568	1386	1318	1257	1158	961	1376	1001
cds1355	gfo/Idh/MocA family oxidoreductase	RPHASCH2410_PD00820	WP_016735512.1	1909	2047	2154	1531	1577	1491	1466	1501	1386	1178	1760	1168
cds1356	gfo/Idh/MocA family oxidoreductase	RPHASCH2410_PD00825	WP_016735513.1	1915	1818	2084	2375	2517	2411	1759	1547	1569	1779	2565	1670
cds1357	N-acetyltransferase	RPHASCH2410_PD00830	WP_029531740.1	106	89	94	236	226	214	155	105	131	170	240	144
cds1358	VOC family protein	RPHASCH2410_PD00835	WP_016735515.1	157	150	165	333	344	341	206	139	165	260	392	219
cds1359	AraC family transcriptional regulator	RPHASCH2410_PD00840	WP_016735516.1	1261	1196	1357	2359	2333	2401	1185	903	1072	1499	2307	1322
cds1360	ABC transporter substrate-binding protein	RPHASCH2410_PD00845	WP_004680282.1	5322	6078	5948	3732	4400	3831	3764	2019	3154	3836	6431	3701
cds1361	sugar ABC transporter permease		WP_004680281.1	452	556	536	424	506	359	336	183	246	346	539	311
cds1362	carbohydrate ABC transporter permease	RPHASCH2410_PD00850	WP_016735518.1	832	877	901	709	857	777	635	446	471	726	1051	719
cds1363	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	RPHASCH2410_PD00855	WP_016735519.1	964	981	1073	822	963	837	721	549	629	758	984	856
cds1364	oxidoreductase	RPHASCH2410_PD00860	WP_016735520.1	3784	3912	3971	1999	2368	2143	2052	1503	1643	1939	2561	2013
cds1365	cytochrome bd-I oxidase subunit CydX		WP_016735521.1	1850	2101	2171	295	358	289	415	500	410	347	404	374
cds1366	cytochrome d ubiquinol oxidase subunit II	RPHASCH2410_PD00865	WP_016735522.1	24372	27501	28080	3880	5063	4454	6281	7862	6459	4746	6083	5918
cds1367	cytochrome bd oxidase subunit I	RPHASCH2410_PD00870	WP_016735523.1	28449	31431	31992	6154	8252	7025	10217	14051	11532	7219	9367	9580
cds1368	ABC transporter ATP-binding protein	RPHASCH2410_PD00875	WP_016735524.1	3690	4027	4045	4761	6006	5036	7495	7253	6836	4972	6391	5870
cds1369	thiol reductant ABC exporter subunit CydD	RPHASCH2410_PD00880	WP_016735525.1	7415	7294	7687	20589	23296	20239	20587	19635	18812	15507	20096	17269
cds1370	GbsR/MarR family transcriptional regulator	RPHASCH2410_PD00885	WP_016735526.1	10910	8597	10009	25651	27756	26613	21158	22278	18854	18588	25746	18140
cds1371	protein hupE	RPHASCH2410_PD00890	WP_016735527.1	1634	1778	1662	1257	1409	1316	1352	1522	1333	904	1210	1138
cds1372	2-hydroxyacid dehydrogenase	RPHASCH2410_PD00900	WP_016735528.1	2852	2504	2612	3752	4376	3876	4804	3937	3583	3524	4335	3601
cds1373	membrane protein	RPHASCH2410_PD00905	WP_016735529.1	59259	62346	64225	79986	90155	80869	96792	72979	73708	72704	90468	73203
cds1374	YbaK/EbsC family protein	RPHASCH2410_PD00910	WP_016735530.1	1867	1471	1689	2975	2963	2938	1928	1437	1519	1930	3087	1590
cds1375	ABC transporter substrate-binding protein	RPHASCH2410_PD00915	WP_016735531.1	3138	3053	3156	5466	6091	5693	4623	6446	5195	3456	4919	3342
cds1376	sugar ABC transporter permease	RPHASCH2410_PD00920	WP_016735532.1	596	546	574	884	985	939	811	646	669	650	948	607
cds1377	carbohydrate ABC transporter permease	RPHASCH2410_PD00925	WP_016735533.1	192	150	214	239	303	272	235	171	196	222	256	202
cds1378	ABC transporter ATP-binding protein	RPHASCH2410_PD00930	WP_016735534.1	268	305	328	417	414	372	413	354	365	320	429	307
cds1379	glycerophosphodiester phosphodiesterase	RPHASCH2410_PD00935	WP_016735535.1	423	345	349	522	492	467	428	364	389	357	570	376
cds1380	LacI family DNA-binding transcriptional regulator	RPHASCH2410_PD00940	WP_012489755.1	407	389	398	414	439	426	373	394	382	356	504	349
cds1381	inositol monophosphatase	RPHASCH2410_PD00945	WP_016735536.1	319	288	337	399	465	386	357	282	341	289	398	321
cds1382	glycerophosphoryl diester phosphodiesterase	RPHASCH2410_PD00950	WP_016735537.1	1814	1256	1341	1610	1921	1733	1623	1787	1592	1328	1890	1486
cds1383	aspartate aminotransferase		gbkey=CDS	548	552	569	556	585	543	561	434	519	418	639	445
cds1384	ABC transporter ATP-binding protein	RPHASCH2410_PD00960	WP_016735538.1	117	142	132	171	212	195	196	143	147	140	170	137
cds1385	ABC transporter ATP-binding protein	RPHASCH2410_PD00965	WP_016735539.1	304	270	296	396	405	354	407	278	306	274	393	302
cds1386	ABC transporter permease	RPHASCH2410_PD00970	WP_016735540.1	207	191	188	396	433	389	394	192	304	296	455	264
cds1387	ABC transporter permease	RPHASCH2410_PD00975	WP_016735541.1	485	475	537	1042	1045	992	779	470	562	685	966	612
cds1388	ABC transporter substrate-binding protein	RPHASCH2410_PD00980	WP_016735542.1	2312	2212	2348	2591	2612	2602	1553	1090	1373	1764	2676	1397
cds1389	LacI family DNA-binding transcriptional regulator	RPHASCH2410_PD00985	WP_016735543.1	191	177	193	284	378	393	436	314	351	239	314	213
cds1390	gfo/Idh/MocA family oxidoreductase	RPHASCH2410_PD00990	WP_029531741.1	142	122	113	524	719	639	1723	1047	1410	248	492	276
cds1391	sugar phosphate isomerase/epimerase	RPHASCH2410_PD00995	WP_016735545.1	156	107	141	330	508	442	1584	1399	1286	282	412	283
cds1392	sugar ABC transporter	RPHASCH2410_PD01000	WP_011427579.1	2462	2630	2777	2158	2486	2412	4153	3647	3489	1756	2596	1754
cds1393	sugar ABC transporter permease	RPHASCH2410_PD01005	WP_004680246.1	812	762	789	974	1102	1036	1359	796	915	758	1160	675
cds1394	carbohydrate ABC transporter permease	RPHASCH2410_PD01010	WP_016735546.1	1288	1028	1121	1452	1530	1530	1330	917	961	1088	1490	1096
cds1395	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC	RPHASCH2410_PD01015	WP_004680244.1	849	928	1017	1493	1637	1645	1777	1048	1173	1156	1560	1210
cds1396	inositol monophosphatase	RPHASCH2410_PD01020	WP_012489765.1	406	387	423	719	818	761	635	622	626	526	733	606
cds1397	peptide-methionine (S)-S-oxide reductase	RPHASCH2410_PD01025	WP_012489766.1	59252	62959	65358	82018	93222	86302	98370	99204	84764	77262	97098	85639
cds1398	alpha/beta hydrolase	RPHASCH2410_PD01030	WP_016735547.1	12904	12050	12648	15771	18371	16449	20422	21978	18596	15297	18600	17458
cds1399	methyltransferase domain-containing protein	RPHASCH2410_PD01035	WP_016735548.1	381	341	394	707	806	716	2162	3467	2460	716	850	874
cds1400	cytosine deaminase	RPHASCH2410_PD01040	WP_016735549.1	2478	2599	2700	3412	3646	3584	2980	2306	2603	2752	3794	2775
cds1401	ABC transporter permease	RPHASCH2410_PD01045	WP_016735550.1	201	241	216	361	351	394	339	264	246	275	411	251
cds1402	ABC transporter permease	RPHASCH2410_PD01050	WP_016735551.1	234	212	216	468	554	485	431	318	328	420	502	352
cds1403	ABC transporter ATP-binding protein	RPHASCH2410_PD01055	WP_016735552.1	1033	906	1002	1630	1682	1750	1349	672	1053	1238	1829	1104
cds1404	amidase	RPHASCH2410_PD01060	WP_016735553.1	449	361	388	1649	1561	1531	1285	822	1079	1079	1402	925
cds1405	BMP family ABC transporter substrate-binding protein	RPHASCH2410_PD01065	WP_004674459.1	2597	2196	2490	5976	5621	6201	5200	6102	5128	4392	6055	3988
cds1406	hypothetical protein	RPHASCH2410_PD01070	WP_016735554.1	32	39	32	17	19	26	14	34	26	10	26	14
cds1407	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase		end_range=210053,.	340	301	323	355	393	370	407	499	396	265	377	323
cds1408	1-acyl-sn-glycerol-3-phosphate acyltransferase	RPHASCH2410_PD01080	WP_012489776.1	699	644	710	542	707	577	887	761	688	579	725	718
cds1409	phosphatidate cytidylyltransferase	RPHASCH2410_PD01085	WP_016735555.1	7888	7040	7749	7042	9095	8159	9581	8579	7984	7443	9006	8183
cds1410	transcriptional regulator	RPHASCH2410_PD01090	WP_012489778.1	11524	11744	13485	12465	15239	14520	12195	12849	11792	11109	13740	13475
cds1411	J domain-containing protein	RPHASCH2410_PD01095	WP_012489779.1	23668	23235	24165	34273	39116	35954	31212	26999	26495	28499	36055	28749
cds1412	universal stress protein	RPHASCH2410_PD01100	WP_029531742.1	13227	11794	12868	9639	10359	10142	6454	2905	4545	7360	11891	5738
cds1413	NAD(P)-dependent oxidoreductase	RPHASCH2410_PD01105	WP_016735556.1	1665	1833	1827	1211	1402	1335	1281	806	959	1088	1431	1022
cds1414	glutathione-dependent disulfide-bond oxidoreductase	RPHASCH2410_PD01110	WP_016735557.1	2593	2885	2907	2870	3113	2969	2651	2483	2448	2308	3073	2328
cds1415	ABC transporter substrate-binding protein	RPHASCH2410_PD01115	WP_016735558.1	1687	1690	1756	1588	1775	1675	1296	1150	1167	1235	1669	1175
cds1416	ABC transporter ATP-binding protein	RPHASCH2410_PD01120	WP_016735559.1	401	386	447	389	460	443	499	352	404	338	454	373
cds1417	ABC transporter permease	RPHASCH2410_PD01125	WP_004677302.1	320	269	321	276	335	336	336	174	228	238	311	244
cds1418	ABC transporter permease	RPHASCH2410_PD01130	WP_010005957.1	271	254	248	264	286	286	262	200	208	215	277	233
cds1419	proline iminopeptidase	RPHASCH2410_PD01135	WP_016735560.1	470	339	402	592	608	671	473	548	462	449	541	500
cds1420	LuxR family transcriptional regulator	RPHASCH2410_PD01140	WP_016735561.1	1398	1105	1306	1339	1404	1411	907	1055	940	1012	1452	992
cds1421	amino acid amidase	RPHASCH2410_PD01145	WP_039751757.1	426	332	414	660	627	629	389	297	340	436	595	403
cds1422	acetamidase	RPHASCH2410_PD01150	WP_016735563.1	1051	1055	1055	1560	1579	1628	964	694	812	1104	1585	1042
cds1423	type II toxin-antitoxin system Phd/YefM family antitoxin	RPHASCH2410_PD01155	WP_016735565.1	2433	1925	2219	5521	5665	5777	3832	1558	2491	4912	7426	3623
cds1424	PIN domain-containing protein	RPHASCH2410_PD01160	WP_016735566.1	1718	1512	1722	6387	6478	6510	2671	1477	1900	4571	6010	3998
cds1425	IS5/IS1182 family transposase		gbkey=CDS	312	241	299	1314	1262	1393	577	366	488	855	1157	905
cds1426	hypothetical protein	RPHASCH2410_PD01175	WP_016735568.1	1345	1283	1336	958	1050	994	915	574	691	794	1135	759
cds1427	DNA repair exonuclease	RPHASCH2410_PD01180	WP_010025240.1	629	661	676	281	345	325	492	482	422	394	504	560
cds1428	flotillin family protein	RPHASCH2410_PD01185	WP_016735569.1	4468	4782	4927	2760	3609	3119	5311	5257	4087	4781	4847	6172
cds1429	phosphomethylpyrimidine synthase ThiC	RPHASCH2410_PD01190	WP_016735570.1	394	220	230	267	301	260	229	228	206	193	304	218
cds1430	glycine oxidase ThiO	RPHASCH2410_PD01195	WP_016735571.1	201	80	92	153	196	199	182	97	152	144	213	127
cds1431	thiamine biosynthesis protein ThiS		WP_004677275.1	417	234	232	161	222	165	239	133	206	193	240	157
cds1432	thiazole synthase	RPHASCH2410_PD01200	WP_016735572.1	65	67	79	112	98	111	85	59	54	68	94	74
cds1433	thiamine phosphate synthase	RPHASCH2410_PD01205	WP_016735573.1	56	47	55	74	78	66	49	36	40	51	78	45
cds1434	hypothetical protein		gbkey=CDS	268	288	306	306	321	280	181	101	152	190	290	190
cds1435	transcriptional regulator	RPHASCH2410_PD01220	WP_010009510.1	959	798	904	1030	1080	1062	792	538	568	726	1047	647
cds1436	SOS response-associated peptidase	RPHASCH2410_PD01225	WP_046977207.1	3646	3336	3714	1468	1795	1740	2211	1041	1471	2042	2440	1952
cds1437	PhzF family phenazine biosynthesis protein	RPHASCH2410_PD01230	WP_016735577.1	761	655	736	614	679	676	536	337	474	513	762	439
cds1438	hypothetical protein	RPHASCH2410_PD01235	WP_046977208.1	45204	49654	51244	8832	12047	10584	16434	22880	17610	10485	13195	14181
cds1439	PAS domain S-box protein	RPHASCH2410_PD01240	WP_016735579.1	3359	3365	3621	2281	2532	2482	1974	2174	1921	1917	2469	2033
cds1440	nuclease	RPHASCH2410_PD01245	WP_016735580.1	257	244	284	278	350	327	211	262	214	256	291	268
cds1441	phosphatase PAP2 family protein	RPHASCH2410_PD01250	WP_016735581.1	124	93	110	91	132	102	78	51	56	77	125	87
cds1442	hypothetical protein	RPHASCH2410_PD01255	WP_016735582.1	96	98	90	143	144	139	99	112	97	104	152	130
cds1443	hypothetical protein		WP_029531745.1	398	455	504	701	909	922	679	826	691	632	817	834
cds1444	hypothetical protein	RPHASCH2410_PD01265	WP_016735584.1	116	92	85	434	426	432	303	166	220	337	450	295
cds1445	hypothetical protein	RPHASCH2410_PD01270	WP_016735585.1	226	127	162	491	492	537	349	184	272	384	567	311
cds1446	hypothetical protein		WP_046977239.1	2093	1229	1539	877	891	983	531	290	346	561	955	464
cds1447	response regulator	RPHASCH2410_PD01280	WP_016735587.1	82	78	93	47	72	60	74	42	54	42	55	60
cds1448	IS5/IS1182 family transposase		gbkey=CDS	318	310	342	470	553	459	438	526	404	368	492	453
cds1449	ATP-dependent DNA ligase	RPHASCH2410_PD01295	WP_016735590.1	288	260	288	80	122	146	84	87	93	107	106	77
cds1450	hypothetical protein	RPHASCH2410_PD01300	WP_016735591.1	130	121	145	149	162	169	60	92	83	119	148	121
cds1451	hypothetical protein	RPHASCH2410_PD01305	WP_029531747.1	98	72	73	154	194	175	72	47	60	113	163	108
cds1452	hypothetical protein	RPHASCH2410_PD01310	WP_016735593.1	263	169	181	250	275	277	178	222	189	173	252	206
cds1453	ATP-dependent DNA ligase		gbkey=CDS	150	108	146	80	108	132	70	100	81	89	114	97
cds1454	PhnA-like protein		gbkey=CDS	485	598	630	461	530	494	505	375	331	374	487	391
cds1455	NmrA family transcriptional regulator	RPHASCH2410_PD01330	WP_016735595.1	295	271	307	222	242	261	290	400	306	178	256	209
cds1456	LysR family transcriptional regulator	RPHASCH2410_PD01335	WP_016735596.1	498	506	513	537	489	523	628	949	725	412	524	478
cds1457	divalent metal cation transporter	RPHASCH2410_PD01340	WP_016735598.1	3509	3683	4051	675	918	916	1639	913	920	1203	1001	1209
cds1458	error-prone DNA polymerase		gbkey=CDS	205	161	181	124	131	132	171	93	107	109	135	83
cds1459	hypothetical protein		WP_080956190.1	490	486	515	172	186	172	247	148	115	198	214	153
cds1460	hypothetical protein	RPHASCH2410_PD01350	WP_016735599.1	983	631	655	351	382	315	369	213	225	328	332	305
cds1461	DNA-binding protein	RPHASCH2410_PD01355	WP_016735600.1	67	71	69	360	468	430	629	801	514	382	395	456
