scanType	TF_RdbID	TFname	TF_locusTag	TF_RZlocusTag	TF_oldRZlocusTag	TG_RdbID	TG_name	TG_locusTag	TG_RZlocusTag	TG_oldRZlocusTag	TG_RZname	OrthologousInteration
site	ECK120000483	ArgP	b2916	RPHASCH2410_RS19540	RPHASCH2410_CH20050	NA	NA	NA	RPHASCH2410_RS04505	RPHASCH2410_CH04635	RPHASCH2410_CH04635	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	NA	NA	NA	RPHASCH2410_RS04505	RPHASCH2410_CH04635	RPHASCH2410_CH04635	FALSE
site	ECK120000540	Lrp	b0889	RPHASCH2410_RS28065	RPHASCH2410_PD03050	NA	NA	NA	RPHASCH2410_RS04505	RPHASCH2410_CH04635	RPHASCH2410_CH04635	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS04505	RPHASCH2410_CH04635	RPHASCH2410_CH04635	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS04520	RPHASCH2410_CH04650	RPHASCH2410_CH04650	FALSE
site	ECK120004350	UlaR	b4191	RPHASCH2410_RS21345	RPHASCH2410_PB00140	NA	NA	NA	RPHASCH2410_RS04520	RPHASCH2410_CH04650	RPHASCH2410_CH04650	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS04570	RPHASCH2410_CH04700	RPHASCH2410_CH04700	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS04630	RPHASCH2410_CH04760	RPHASCH2410_CH04760	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS04770	RPHASCH2410_CH04900	etfB	FALSE
site	ECK120000540	Lrp	b0889	RPHASCH2410_RS28065	RPHASCH2410_PD03050	NA	NA	NA	RPHASCH2410_RS04905	RPHASCH2410_CH05035	RPHASCH2410_CH05035	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS04985	RPHASCH2410_CH05110	dacF3	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS04990	RPHASCH2410_CH05115	RPHASCH2410_CH05115	FALSE
site	ECK120002180	RutR	b1013	RPHASCH2410_RS15505	RPHASCH2410_CH15905	NA	NA	NA	RPHASCH2410_RS05090	RPHASCH2410_CH05215	RPHASCH2410_CH05215	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS05165	RPHASCH2410_CH05285	RPHASCH2410_CH05285	FALSE
site	ECK120000946	SoxR	b4063	RPHASCH2410_RS05245	RPHASCH2410_CH05360	NA	NA	NA	RPHASCH2410_RS05175	RPHASCH2410_CH05295	RPHASCH2410_CH05295	FALSE
site	ECK120000946	SoxR	b4063	RPHASCH2410_RS05245	RPHASCH2410_CH05360	NA	NA	NA	RPHASCH2410_RS05180	RPHASCH2410_CH05300	argI	FALSE
site	ECK120004350	UlaR	b4191	RPHASCH2410_RS21345	RPHASCH2410_PB00140	NA	NA	NA	RPHASCH2410_RS05415	RPHASCH2410_CH05520	omp2	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS05445	RPHASCH2410_CH05545	sdhC	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS05450	RPHASCH2410_CH05550	RPHASCH2410_CH05550	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS05610	RPHASCH2410_CH05710	RPHASCH2410_CH05710	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS32370	RPHASCH2410_CH05730	RPHASCH2410_CH05730	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS05730	RPHASCH2410_CH05830	RPHASCH2410_CH05830	FALSE
site	ECK120003471	SlyA	b1642	RPHASCH2410_RS15855	RPHASCH2410_CH16260	NA	NA	NA	RPHASCH2410_RS05835	RPHASCH2410_CH05935	tesB	FALSE
site	ECK120003471	SlyA	b1642	RPHASCH2410_RS15855	RPHASCH2410_CH16260	NA	NA	NA	RPHASCH2410_RS05840	RPHASCH2410_CH05940	RPHASCH2410_CH05940	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS05875	RPHASCH2410_CH05975	RPHASCH2410_CH05975	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS05880	RPHASCH2410_CH05980	RPHASCH2410_CH05980	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS05905	RPHASCH2410_CH06005	RPHASCH2410_CH06005	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	ECK120000586	mglB	b2150	RPHASCH2410_RS05910	RPHASCH2410_CH06010	mocB1	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS05970	RPHASCH2410_CH06075	RPHASCH2410_CH06075	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS05990	RPHASCH2410_CH06100	RPHASCH2410_CH06100	FALSE
site	ECK120003471	SlyA	b1642	RPHASCH2410_RS15855	RPHASCH2410_CH16260	NA	NA	NA	RPHASCH2410_RS05990	RPHASCH2410_CH06100	RPHASCH2410_CH06100	FALSE
site	ECK120000357	GalR	b2837	RPHASCH2410_RS09860	RPHASCH2410_CH10080	NA	NA	NA	RPHASCH2410_RS06000	RPHASCH2410_CH06110	RPHASCH2410_CH06110	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS06030	RPHASCH2410_CH06135	RPHASCH2410_CH06135	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS06110	RPHASCH2410_CH06220	RPHASCH2410_CH06220	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS06145	RPHASCH2410_CH06260	RPHASCH2410_CH06260	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS06150	RPHASCH2410_CH06265	metA	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS06205	RPHASCH2410_CH06320	RPHASCH2410_CH06320	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS06210	RPHASCH2410_CH06325	genX	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS06220	RPHASCH2410_CH06335	RPHASCH2410_CH06335	FALSE
site	ECK120000540	Lrp	b0889	RPHASCH2410_RS28065	RPHASCH2410_PD03050	NA	NA	NA	RPHASCH2410_RS06285	RPHASCH2410_CH06400	sfuA	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS06300	RPHASCH2410_CH06415	RPHASCH2410_CH06415	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS06300	RPHASCH2410_CH06415	RPHASCH2410_CH06415	FALSE
site	ECK120000946	SoxR	b4063	RPHASCH2410_RS05245	RPHASCH2410_CH05360	NA	NA	NA	RPHASCH2410_RS06525	RPHASCH2410_CH06645	RPHASCH2410_CH06645	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS06575	RPHASCH2410_CH06695	htpX	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS06580	RPHASCH2410_CH06700	RPHASCH2410_CH06700	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS06595	RPHASCH2410_CH06715	flaC1	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS06740	RPHASCH2410_CH06865	RPHASCH2410_CH06865	FALSE
site	ECK120000946	SoxR	b4063	RPHASCH2410_RS05245	RPHASCH2410_CH05360	NA	NA	NA	RPHASCH2410_RS06745	RPHASCH2410_CH06870	RPHASCH2410_CH06870	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS06840	RPHASCH2410_CH06965	chvI	FALSE
site	ECK120003471	SlyA	b1642	RPHASCH2410_RS15855	RPHASCH2410_CH16260	NA	NA	NA	RPHASCH2410_RS06990	RPHASCH2410_CH07120	RPHASCH2410_CH07120	FALSE
site	ECK120000946	SoxR	b4063	RPHASCH2410_RS05245	RPHASCH2410_CH05360	NA	NA	NA	RPHASCH2410_RS06990	RPHASCH2410_CH07120	RPHASCH2410_CH07120	FALSE
site	ECK120001729	GcvA	b2808	RPHASCH2410_RS14950	RPHASCH2410_CH15335	NA	NA	NA	RPHASCH2410_RS06995	RPHASCH2410_CH07125	RPHASCH2410_CH07125	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS06995	RPHASCH2410_CH07125	RPHASCH2410_CH07125	FALSE
site	ECK120003471	SlyA	b1642	RPHASCH2410_RS15855	RPHASCH2410_CH16260	NA	NA	NA	RPHASCH2410_RS06995	RPHASCH2410_CH07125	RPHASCH2410_CH07125	FALSE
site	ECK120000946	SoxR	b4063	RPHASCH2410_RS05245	RPHASCH2410_CH05360	NA	NA	NA	RPHASCH2410_RS06995	RPHASCH2410_CH07125	RPHASCH2410_CH07125	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS07030	RPHASCH2410_CH07160	RPHASCH2410_CH07160	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS07035	RPHASCH2410_CH07165	RPHASCH2410_CH07165	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS07115	RPHASCH2410_CH07245	uxaC	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS07180	RPHASCH2410_CH07305	RPHASCH2410_CH07305	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS07265	RPHASCH2410_CH07390	RPHASCH2410_CH07390	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS07320	RPHASCH2410_CH07445	RPHASCH2410_CH07445	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS07320	RPHASCH2410_CH07445	RPHASCH2410_CH07445	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS07325	RPHASCH2410_CH07450	RPHASCH2410_CH07450	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS07325	RPHASCH2410_CH07450	RPHASCH2410_CH07450	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS07370	RPHASCH2410_CH07495	irr	FALSE
site	ECK120002180	RutR	b1013	RPHASCH2410_RS15505	RPHASCH2410_CH15905	NA	NA	NA	RPHASCH2410_RS07370	RPHASCH2410_CH07495	irr	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS07375	RPHASCH2410_CH07500	fabA	FALSE
site	ECK120002180	RutR	b1013	RPHASCH2410_RS15505	RPHASCH2410_CH15905	NA	NA	NA	RPHASCH2410_RS07375	RPHASCH2410_CH07500	fabA	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS07415	RPHASCH2410_CH07545	rbfA	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS07555	RPHASCH2410_CH07685	RPHASCH2410_CH07685	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS07580	RPHASCH2410_CH07710	RPHASCH2410_CH07710	FALSE
site	ECK120000483	ArgP	b2916	RPHASCH2410_RS19540	RPHASCH2410_CH20050	NA	NA	NA	RPHASCH2410_RS07590	RPHASCH2410_CH07720	RPHASCH2410_CH07720	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS07590	RPHASCH2410_CH07720	RPHASCH2410_CH07720	FALSE
site	ECK120000483	ArgP	b2916	RPHASCH2410_RS19540	RPHASCH2410_CH20050	NA	NA	NA	RPHASCH2410_RS07595	RPHASCH2410_CH07725	RPHASCH2410_CH07725	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS07595	RPHASCH2410_CH07725	RPHASCH2410_CH07725	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS07710	RPHASCH2410_CH07840	phnG	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS07715	RPHASCH2410_CH07845	RPHASCH2410_CH07845	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS07740	RPHASCH2410_CH07870	mgsA	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS07810	RPHASCH2410_CH07940	RPHASCH2410_CH07940	FALSE
site	ECK120000357	GalR	b2837	RPHASCH2410_RS09860	RPHASCH2410_CH10080	ECK120000214	deoB	b4383	RPHASCH2410_RS07870	RPHASCH2410_CH08005	deoB	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS07885	RPHASCH2410_CH08020	pilQ	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS08160	RPHASCH2410_CH08300	RPHASCH2410_CH08300	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS08165	RPHASCH2410_CH08305	RPHASCH2410_CH08305	FALSE
site	ECK120000540	Lrp	b0889	RPHASCH2410_RS28065	RPHASCH2410_PD03050	NA	NA	NA	RPHASCH2410_RS08460	RPHASCH2410_CH08620	RPHASCH2410_CH08620	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS08460	RPHASCH2410_CH08620	RPHASCH2410_CH08620	FALSE
site	ECK120000540	Lrp	b0889	RPHASCH2410_RS28065	RPHASCH2410_PD03050	NA	NA	NA	RPHASCH2410_RS08465	RPHASCH2410_CH08625	RPHASCH2410_CH08625	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS08465	RPHASCH2410_CH08625	RPHASCH2410_CH08625	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS08490	RPHASCH2410_CH08645	RPHASCH2410_CH08645	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS08605	RPHASCH2410_CH08770	RPHASCH2410_CH08770	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS08690	RPHASCH2410_CH08855	RPHASCH2410_CH08855	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS08710	RPHASCH2410_CH08875	RPHASCH2410_CH08875	FALSE
site	ECK120001729	GcvA	b2808	RPHASCH2410_RS14950	RPHASCH2410_CH15335	NA	NA	NA	RPHASCH2410_RS08730	RPHASCH2410_CH08895	RPHASCH2410_CH08895	FALSE
site	ECK120001729	GcvA	b2808	RPHASCH2410_RS14950	RPHASCH2410_CH15335	NA	NA	NA	RPHASCH2410_RS08735	RPHASCH2410_CH08900	RPHASCH2410_CH08900	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS08745	RPHASCH2410_CH08910	glnD	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS08755	RPHASCH2410_CH08920	mutS	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS08855	RPHASCH2410_CH09020	RPHASCH2410_CH09020	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS08950	RPHASCH2410_CH09115	argB	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS08955	RPHASCH2410_CH09120	sigK	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS09005	RPHASCH2410_CH09170	rpmH	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS09010	RPHASCH2410_CH09175	mcpT	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS09030	RPHASCH2410_CH09200	RPHASCH2410_CH09200	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	ECK120000797	pyrC	b1062	RPHASCH2410_RS09175	RPHASCH2410_CH09360	pyrC	TRUE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	ECK120000797	pyrC	b1062	RPHASCH2410_RS09175	RPHASCH2410_CH09360	pyrC	FALSE
site	ECK120000483	ArgP	b2916	RPHASCH2410_RS19540	RPHASCH2410_CH20050	NA	NA	NA	RPHASCH2410_RS09180	RPHASCH2410_CH09365	RPHASCH2410_CH09365	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	NA	NA	NA	RPHASCH2410_RS09180	RPHASCH2410_CH09365	RPHASCH2410_CH09365	FALSE
site	ECK120002180	RutR	b1013	RPHASCH2410_RS15505	RPHASCH2410_CH15905	NA	NA	NA	RPHASCH2410_RS09215	RPHASCH2410_CH09400	pgi	FALSE
site	ECK120000946	SoxR	b4063	RPHASCH2410_RS05245	RPHASCH2410_CH05360	NA	NA	NA	RPHASCH2410_RS09220	RPHASCH2410_CH09405	fadD	FALSE
site	ECK120000946	SoxR	b4063	RPHASCH2410_RS05245	RPHASCH2410_CH05360	NA	NA	NA	RPHASCH2410_RS09225	RPHASCH2410_CH09410	RPHASCH2410_CH09410	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS09325	RPHASCH2410_CH09515	RPHASCH2410_CH09515	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	NA	NA	NA	RPHASCH2410_RS09415	RPHASCH2410_CH09620	apaG	FALSE
site	ECK120002286	PuuR	b1299	RPHASCH2410_RS28340	RPHASCH2410_PD03330	NA	NA	NA	RPHASCH2410_RS09415	RPHASCH2410_CH09620	apaG	FALSE
site	ECK120001481	NarP	b2193	RPHASCH2410_RS31630	RPHASCH2410_PA01320	NA	NA	NA	RPHASCH2410_RS09540	RPHASCH2410_CH09755	RPHASCH2410_CH09755	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS09545	RPHASCH2410_CH09760	RPHASCH2410_CH09760	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS09590	RPHASCH2410_CH09810	cspA1	FALSE
site	ECK120000483	ArgP	b2916	RPHASCH2410_RS19540	RPHASCH2410_CH20050	NA	NA	NA	RPHASCH2410_RS09595	RPHASCH2410_CH09815	RPHASCH2410_CH09815	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS09610	RPHASCH2410_CH09830	RPHASCH2410_CH09830	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS09610	RPHASCH2410_CH09830	RPHASCH2410_CH09830	FALSE
site	ECK120000791	PurR	b1658	RPHASCH2410_RS11730	RPHASCH2410_CH12005	NA	NA	NA	RPHASCH2410_RS09615	RPHASCH2410_CH09835	RPHASCH2410_CH09835	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS09615	RPHASCH2410_CH09835	RPHASCH2410_CH09835	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS09660	RPHASCH2410_CH09880	RPHASCH2410_CH09880	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS09665	RPHASCH2410_CH09885	RPHASCH2410_CH09885	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS09785	RPHASCH2410_CH10005	RPHASCH2410_CH10005	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS09910	RPHASCH2410_CH10125	RPHASCH2410_CH10125	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS09915	RPHASCH2410_CH10130	RPHASCH2410_CH10130	FALSE
site	ECK120000540	Lrp	b0889	RPHASCH2410_RS28065	RPHASCH2410_PD03050	NA	NA	NA	RPHASCH2410_RS09970	RPHASCH2410_CH10180	RPHASCH2410_CH10180	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS09985	RPHASCH2410_CH10195	RPHASCH2410_CH10195	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS09990	RPHASCH2410_CH10200	RPHASCH2410_CH10200	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS09995	RPHASCH2410_CH10205	RPHASCH2410_CH10205	FALSE
site	ECK120000194	CytR	b3934	RPHASCH2410_RS04060	RPHASCH2410_CH04180	NA	NA	NA	RPHASCH2410_RS10050	RPHASCH2410_CH10265	fliF	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS10210	RPHASCH2410_CH10430	RPHASCH2410_CH10430	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS10575	RPHASCH2410_CH10810	RPHASCH2410_CH10810	FALSE
site	ECK120000357	GalR	b2837	RPHASCH2410_RS09860	RPHASCH2410_CH10080	NA	NA	NA	RPHASCH2410_RS10705	RPHASCH2410_CH10955	RPHASCH2410_CH10955	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS10740	RPHASCH2410_CH10990	RPHASCH2410_CH10990	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	NA	NA	NA	RPHASCH2410_RS10855	RPHASCH2410_CH11110	groES1	FALSE
site	ECK120002342	GntR	b3438	RPHASCH2410_RS25610	RPHASCH2410_PD00565	NA	NA	NA	RPHASCH2410_RS10860	RPHASCH2410_CH11115	RPHASCH2410_CH11115	FALSE
site	ECK120002180	RutR	b1013	RPHASCH2410_RS15505	RPHASCH2410_CH15905	NA	NA	NA	RPHASCH2410_RS10885	RPHASCH2410_CH11140	RPHASCH2410_CH11140	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS10890	RPHASCH2410_CH11145	codA	FALSE
site	ECK120001334	Rob	b4396	RPHASCH2410_RS04095	RPHASCH2410_CH04215	NA	NA	NA	RPHASCH2410_RS10895	RPHASCH2410_CH11150	RPHASCH2410_CH11150	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS10965	RPHASCH2410_CH11220	mutL	FALSE
site	ECK120004225	NanR	b3226	RPHASCH2410_RS30095	RPHASCH2410_PD05225	NA	NA	NA	RPHASCH2410_RS10970	RPHASCH2410_CH11225	RPHASCH2410_CH11225	FALSE
